"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DESKTOP-SRDUUC3","\anjay Laravel Scheduler","02/09/2025 13:10:02","Ready","Interactive only","02/09/2025 13:09:03","0","DESKTOP-SRDUUC3\ical","php artisan schedule:run","C:\xampp\htdocs\laravel7","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","ical","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","23:19:02","01/09/2025","N/A","Every 5 day(s)","N/A","0 Hour(s), 1 Minute(s)","None","24 Hour(s), 0 Minute(s)","Disabled"
"DESKTOP-SRDUUC3","\laravel scheduler","02/09/2025 13:10:00","Ready","Interactive only","01/09/2025 22:51:33","0","DESKTOP-SRDUUC3\ical","C:\xampp\php\php.exe artisan schedule:run","C:\xampp\htdocs\laravel7","ini untuk reminder deadline tugas","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","ical","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","17:21:00","01/09/2025","N/A","Every 1 day(s)","N/A","0 Hour(s), 1 Minute(s)","None","Disabled","Disabled"
"DESKTOP-SRDUUC3","\run scheduler every minute","02/09/2025 13:09:53","Ready","Interactive only","02/09/2025 13:08:54","1","DESKTOP-SRDUUC3\ical","C:\Users\NamaUser\Documents\run-scheduler.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","ical","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","20:09:53","01/09/2025","N/A","Every 1 day(s)","N/A","0 Hour(s), 1 Minute(s)","None","24 Hour(s), 0 Minute(s)","Disabled"
"DESKTOP-SRDUUC3","\vbs.scheduler","03/09/2025 01:09:56","Ready","Interactive only","02/09/2025 01:36:36","0","DESKTOP-SRDUUC3\ical","wscript.exe "C:\xampp\htdocs\laravel7\run_scheduler.vbs"","N/A","os","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","ical","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","01:09:56","02/09/2025","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"DESKTOP-SRDUUC3","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","N/A","Ready","Interactive/Background","02/09/2025 02:11:43","-2147023829","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-SRDUUC3","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","N/A","Ready","Interactive/Background","02/09/2025 02:11:43","-2147023829","N/A","COM handler","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","02:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
